FileID,,T20P58300100002
TestTime,,2018/03/12 00:40
WO,,T13P57400500
Operator,,0
MaximumBin,,256
Specification,,95.C2016.NMC100Z.tsf
SpecRemark,,
FileName,,T20P58300100002.csv
ProductName,,
DeviceNumber,,95.c2016.nmc100z
LOT_ID,,T20P58300100002
ComponentNo,,T20P58300100002
Customer,,
Class,,
OrderNumber,,
Temperature,,
Humidity,,
Remark1,,
Remark2,,
Remark3,,3.80.238
Remark4,,
EQP_ID,,P5PBW003
Recipe_Name,,95.C2016.NMC100Z.tsf
QTY,,1080
SideBin,,259
NGBin,,211
ResortBin,,0
TryLot,,No
CORREL1,,0
CORREL2,,0
SUMITEM,Bin,BIN_CODE,BIN_GRADE,CONT1,CONT2,CONT3,CONT4,TPOLAR,SPEC1_x,SPEC1_y,SPEC1_WLP,LOP1,VF1,VF2,VF3,VF4,VF5,VR1,ARI1
MAX,253,0,0,0,0,0,0,0,0.3348,0.358,450.0382,339.2706,3.3984,2.38,2.3789,3.2386,2.3762,0.622,0.089
MIN,29,0,0,0,0,0,0,0,0.312,0.3138,443.7567,24.0728,2.6035,2.3258,2.3241,2.3075,2.248,0.536,0.0003
AVG,79.3630,0,0,0,0,0,0,0,0.3219,0.3333,445.9886,308.8152,3.2454,2.3612,2.3615,3.082,2.2979,0.5558,0.0636
STD,36.5636,0,0,0,0,0,0,0,0.0041,0.0077,1.0923,46.6966,0.0841,0.0054,0.0058,0.0707,0.0161,0.0123,0.0136
NG,0,0,0,0,0,0,0,0,0,,0,0,206,1,0,0,0,4,0
Cond_NG,0,0,0,0,0,0,0,0,19,,0,239,1,0,0,0,0,0,0


map data
PosX,PosY,Bin,TEST,BIN_CODE,BIN_GRADE,CONT1,CONT2,CONT3,CONT4,TPOLAR,SPEC1_x,SPEC1_y,SPEC1_WLP,LOP1,VF1,VF2,VF3,VF4,VF5,VR1,ARI1
0,0,80,1,C0001U6B,1,0,0,0,0,0,0.3217,0.3343,447.11,325.09,3.2982,2.3572,2.3583,3.1232,2.2845,0.5424,0.0739
1,0,59,2,B0001U6B,1,0,0,0,0,0,0.3173,0.3249,446.05,324.33,3.295,2.3614,2.3624,3.1218,2.2881,0.5433,0.0743
2,0,80,3,C0001U6B,1,0,0,0,0,0,0.3236,0.3372,446.84,328.95,3.2993,2.3574,2.3585,3.1245,2.2851,0.5442,0.0734
3,0,59,4,B0001U6B,1,0,0,0,0,0,0.3172,0.3254,446.3,323.59,3.3043,2.3627,2.364,3.1282,2.2903,0.546,0.0737
4,0,80,5,C0001U6B,1,0,0,0,0,0,0.3211,0.3327,446.62,328.53,3.3015,2.3618,2.363,3.1271,2.2916,0.5497,0.0714
5,0,59,6,B0001U6B,1,0,0,0,0,0,0.3181,0.3256,444.96,325.43,3.3086,2.3705,2.3717,3.1316,2.2968,0.5488,0.0749
6,0,80,7,C0001U6B,1,0,0,0,0,0,0.3213,0.3309,444.66,330.09,3.2472,2.363,2.3643,3.0805,2.2921,0.5515,0.0722
7,0,59,8,B0001U6B,1,0,0,0,0,0,0.3205,0.3287,444.18,328.39,3.2414,2.3643,2.3655,3.0765,2.2935,0.5488,0.072
8,0,59,9,B0001U6B,1,0,0,0,0,0,0.3176,0.3241,444.58,326,3.2993,2.3673,2.3687,3.1275,2.2979,0.547,0.0708
9,0,59,10,B0001U6B,1,0,0,0,0,0,0.3199,0.3301,446.43,326.37,3.2953,2.3589,2.36,3.1226,2.288,0.5451,0.072
10,0,59,11,B0001U6B,1,0,0,0,0,0,0.32,0.3307,446.65,325.71,3.2991,2.3597,2.3608,3.1248,2.2886,0.5451,0.0722
11,0,80,12,C0001U6B,1,0,0,0,0,0,0.3214,0.3332,446.7,327.43,3.2981,2.3579,2.3591,3.125,2.2883,0.5451,0.0708
12,0,59,13,B0001U6B,1,0,0,0,0,0,0.319,0.3285,446.43,324.64,3.2983,2.36,2.3611,3.1232,2.2854,0.5415,0.0757
13,0,80,14,C0001U6B,1,0,0,0,0,0,0.3208,0.3326,447.13,326.24,3.3005,2.3582,2.3594,3.1267,2.2889,0.5479,0.0705
14,0,80,15,C0001U6B,1,0,0,0,0,0,0.3222,0.3344,446.72,328.36,3.2971,2.3586,2.3597,3.1221,2.2855,0.5424,0.0742
15,0,59,16,B0001U6B,1,0,0,0,0,0,0.3204,0.3316,446.9,325.4,3.2986,2.3569,2.3582,3.1232,2.2832,0.5415,0.0749
16,0,59,17,B0001U6B,1,0,0,0,0,0,0.3199,0.3291,445.63,327.25,3.316,2.3621,2.3634,3.1413,2.2919,0.546,0.0714
17,0,59,18,B0001U6B,1,0,0,0,0,0,0.3172,0.3257,447.01,324.64,3.2971,2.3565,2.3577,3.1241,2.2867,0.547,0.071
18,0,59,19,B0001U6B,1,0,0,0,0,0,0.3197,0.3297,446.18,330.86,3.2376,2.3556,2.3566,3.0717,2.282,0.5488,0.0746
19,0,59,20,B0001U6B,1,0,0,0,0,0,0.3178,0.3276,447.47,324.21,3.2976,2.3556,2.3568,3.1247,2.2871,0.547,0.0697
20,0,59,21,B0001U6B,1,0,0,0,0,0,0.3174,0.3245,444.6,329.46,3.2466,2.3655,2.3667,3.0823,2.2939,0.5497,0.0728
21,0,249,22,NotG-Bin,3,0,0,0,0,1,0,0,0,0,0.1203,-0.0035,0.0109,0.0004,0.0104,10.001,0.0005
22,0,249,23,NotG-Bin,3,0,0,0,0,1,0,0,0,0,0.1203,-0.0035,0.008,0.0004,0.0078,10.001,0.0002
23,0,249,24,NotG-Bin,3,0,0,0,0,1,0,0,0,0,0.1203,-0.0032,0.008,0.0004,0.0077,10.001,0.0003
24,0,59,25,B0001U6B,1,0,0,0,0,0,0.3166,0.3237,445.81,323.61,3.2928,2.3623,2.3634,3.1174,2.2845,0.5387,0.0789
25,0,249,26,NotG-Bin,3,0,0,0,0,1,0,0,0,0,2.5288,2.3727,2.3728,2.3807,2.3725,0.6211,0.0003
26,0,59,27,B0001U6B,1,0,0,0,0,0,0.3167,0.3222,444.17,327.89,3.2393,2.3656,2.3667,3.0735,2.2906,0.546,0.0761
27,0,59,28,B0001U6B,1,0,0,0,0,0,0.3186,0.3261,444.38,327.34,3.2276,2.3627,2.364,3.0634,2.2846,0.5442,0.0794
28,0,59,29,B0001U6B,1,0,0,0,0,0,0.3184,0.3265,445.33,327.35,3.2437,2.3623,2.3634,3.0798,2.2913,0.5506,0.072
29,0,80,30,C0001U6B,1,0,0,0,0,0,0.3206,0.331,446.28,324.79,3.3011,2.3621,2.3632,3.1275,2.293,0.5497,0.0702
30,0,80,31,C0001U6B,1,0,0,0,0,0,0.3205,0.3319,446.64,328,3.2936,2.3592,2.3605,3.1219,2.29,0.5488,0.0705
31,0,80,32,C0001U6B,1,0,0,0,0,0,0.3234,0.3357,446.03,323.58,3.3075,2.3618,2.3629,3.1326,2.2901,0.5451,0.0728
32,0,80,33,C0001U6B,1,0,0,0,0,0,0.323,0.3356,446.06,333.23,3.3164,2.3556,2.3534,3.1398,2.2829,0.5488,0.0705
33,0,59,34,B0001U6B,1,0,0,0,0,0,0.3179,0.3241,444.34,325.39,3.3165,2.3533,2.3508,3.1402,2.2787,0.5488,0.0722
34,0,59,35,B0001U6B,1,0,0,0,0,0,0.3185,0.3251,444.14,327.52,3.3044,2.3542,2.3519,3.1302,2.2784,0.5479,0.0736
35,0,59,36,B0001U6B,1,0,0,0,0,0,0.3202,0.3298,445.77,329.03,3.3288,2.3579,2.3557,3.1529,2.2884,0.5506,0.0673
0,1,59,37,B0001U6B,1,0,0,0,0,0,0.3189,0.3281,446.03,327.6,3.3267,2.3569,2.355,3.1502,2.2863,0.5497,0.0687
1,1,59,38,B0001U6B,1,0,0,0,0,0,0.3185,0.3248,443.85,324.96,3.3052,2.3536,2.3513,3.1263,2.2703,0.5387,0.081
2,1,59,39,B0001U6B,1,0,0,0,0,0,0.32,0.3279,444.36,323.45,3.3331,2.3557,2.3521,3.1528,2.2838,0.5497,0.0682
3,1,59,40,B0001U6B,1,0,0,0,0,0,0.3199,0.3303,446.38,329.49,3.3126,2.349,2.3467,3.138,2.2762,0.5488,0.0705
4,1,59,41,B0001U6B,1,0,0,0,0,0,0.3197,0.3306,446.81,332.22,3.287,2.36,2.3568,3.1134,2.2918,0.5479,0.065
5,1,80,42,C0001U6B,1,0,0,0,0,0,0.3216,0.3311,444.54,330.06,3.2891,2.3676,2.3638,3.1156,2.2964,0.5479,0.0674
6,1,80,43,C0001U6B,1,0,0,0,0,0,0.3239,0.3385,447.22,334.96,3.288,2.358,2.3554,3.114,2.2898,0.5479,0.0656
7,1,245,44,IV-side,2,0,0,0,0,0,0.327,0.3447,448.66,37.76,3.0065,2.3742,2.3698,3.1201,2.2988,0.5497,0.071
8,1,59,45,B0001U6B,1,0,0,0,0,0,0.3202,0.3298,445.98,325.54,3.2874,2.358,2.3524,3.1094,2.2805,0.5424,0.0719
9,1,80,46,C0001U6B,1,0,0,0,0,0,0.3209,0.3316,446.18,330.64,3.2614,2.3601,2.3572,3.0907,2.2906,0.5488,0.0667
10,1,59,47,B0001U6B,1,0,0,0,0,0,0.32,0.3313,447.18,332.81,3.2861,2.3594,2.3562,3.1114,2.2898,0.5497,0.0664
11,1,59,48,B0001U6B,1,0,0,0,0,0,0.3206,0.3294,445.44,324.18,3.2725,2.3571,2.3524,3.1009,2.2857,0.5497,0.0667
12,1,56,49,B0001U5B,1,0,0,0,0,0,0.3203,0.331,447.08,310.44,3.2556,2.3514,2.3473,3.0874,2.2788,0.5451,0.0685
13,1,59,50,B0001U6B,1,0,0,0,0,0,0.3182,0.3257,445.56,324.67,3.2753,2.3585,2.354,3.1045,2.2892,0.5515,0.0649
14,1,59,51,B0001U6B,1,0,0,0,0,0,0.3186,0.3273,446,323.53,3.258,2.3576,2.355,3.0861,2.2858,0.5442,0.0691
15,1,59,52,B0001U6B,1,0,0,0,0,0,0.3192,0.3292,446.66,329.87,3.2705,2.3569,2.3533,3.0962,2.2823,0.5424,0.071
16,1,244,53,CIE-side,2,0,0,0,0,0,0,0,0,0,3.2725,2.3629,2.3608,3.0966,2.293,0.5479,0.0678
17,1,249,54,NotG-Bin,3,0,0,0,0,1,0,0,0,0,2.5839,2.3695,2.3647,2.4694,2.365,0.622,-0.0003
18,1,249,55,NotG-Bin,3,0,0,0,0,1,0,0,0,0,2.4885,2.3737,2.3679,1.7069,2.3415,0.6,0.0264
19,1,59,56,B0001U6B,1,0,0,0,0,0,0.3189,0.3281,446.23,328.53,3.2841,2.3634,2.36,3.1104,2.2933,0.5497,0.0667
20,1,38,57,A0001U6B,1,0,0,0,0,0,0.3148,0.3198,445.76,323.26,3.2721,2.3638,2.362,3.0993,2.2962,0.5488,0.0658
21,1,59,58,B0001U6B,1,0,0,0,0,0,0.3183,0.3267,445.78,331.44,3.2788,2.3649,2.3618,3.1065,2.2953,0.5488,0.0665
22,1,59,59,B0001U6B,1,0,0,0,0,0,0.3194,0.3281,445.51,329.21,3.274,2.3556,2.3519,3.1044,2.2878,0.5515,0.0641
23,1,80,60,C0001U6B,1,0,0,0,0,0,0.3207,0.3324,447.1,332.05,3.2702,2.3589,2.3562,3.1,2.2921,0.5515,0.0641
24,1,56,61,B0001U5B,1,0,0,0,0,0,0.3197,0.328,445.23,313.68,3.277,2.3626,2.3582,3.1034,2.2893,0.5479,0.0688
25,1,249,62,NotG-Bin,3,0,0,0,0,1,0,0,0,0,0.1203,-0.0035,0.0092,0.0004,0.009,10.001,0.0002
26,1,249,63,NotG-Bin,3,0,0,0,0,1,0,0,0,0,0.1203,-0.0035,0.0092,1.9767,2.3684,0.6229,-2.3592
27,1,80,64,C0001U6B,1,0,0,0,0,0,0.3225,0.3353,446.9,332.03,3.2733,2.3574,2.3539,3.1003,2.2877,0.5488,0.0662
28,1,80,65,C0001U6B,1,0,0,0,0,0,0.3211,0.3304,444.85,329.73,3.3063,2.3632,2.3588,3.1307,2.2932,0.5497,0.0656
29,1,59,66,B0001U6B,1,0,0,0,0,0,0.319,0.3284,446.31,326.72,3.2748,2.3586,2.3543,3.103,2.2893,0.5506,0.065
